id,kind,match,conf,exec
A01,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A02,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A03,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A04,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A05,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A06,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A07,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A08,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A09,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A10,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A11,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
A12,attack,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B01,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B02,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B03,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B04,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B05,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B06,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B07,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B08,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B09,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B10,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B11,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
B12,benign,NO_MATCH_FOUND,,EXECUTION_SUCCESS
