region,3.8-live,3.8-live-ET,live-2.5-native-audio
global,404,404,200
us-central1,200,404,200
us-east1,404,404,200
us-east4,404,404,200
us-east5,404,404,200
us-south1,404,404,200
us-west1,404,404,200
us-west4,404,404,200
northamerica-northeast1,404,404,404
southamerica-east1,404,404,404
europe-central2,404,404,200
europe-north1,404,404,200
europe-southwest1,404,404,200
europe-west1,404,404,200
europe-west2,404,404,404
europe-west3,404,404,404
europe-west4,200,404,200
europe-west6,404,404,404
europe-west8,404,404,200
europe-west9,404,404,404
me-central1,404,404,404
me-west1,404,404,404
asia-east1,404,404,404
asia-east2,404,404,404
asia-northeast1,404,404,404
asia-northeast3,404,404,404
asia-south1,404,404,404
asia-southeast1,404,404,404
australia-southeast1,404,404,404
